Major ID,Major, Requirement Type, Course
1001,Accounting, GenEd Requirements, ECO-210
1001,Accounting, GenEd Requirements, ENG-101
1001,Accounting, GenEd Requirements, ENG-102
1001,Accounting, GenEd Requirements, ENG-260
1001,Accounting, Major Requirements, ACC-102
1001,Accounting, Major Requirements, ACC-111
1001,Accounting, Major Requirements, ACC-112
1001,Accounting, Major Requirements, ACC-124
1001,Accounting, Major Requirements, ACC-150
1001,Accounting, Major Requirements, ACC-201
1001,Accounting, Major Requirements, ACC-202
1001,Accounting, Major Requirements, ACC-203
1001,Accounting, Major Requirements, ACC-224
1001,Accounting, Major Requirements, ACC-226
1001,Accounting, Major Requirements, ACC-240
1001,Accounting, Major Requirements, ACC-245
1001,Accounting, Major Requirements, ACC-260
1001,Accounting, Major Requirements, ACC-265
1001,Accounting, Major Requirements, ACC-246
1001,Accounting, Major Requirements, ACC-275
1001,Accounting, Major Requirements, BUS-121
1002,Administrative Office Technology, GenEd Requirements, ENG-101
1002,Administrative Office Technology, GenEd Requirements, IDS-109
1002,Administrative Office Technology, GenEd Requirements, PHI-110
1002,Administrative Office Technology, Major Requirements, ACC-111
1002,Administrative Office Technology, Major Requirements, AOT-105
1002,Administrative Office Technology, Major Requirements, AOT-110
1002,Administrative Office Technology, Major Requirements, AOT-134
1002,Administrative Office Technology, Major Requirements, AOT-161
1002,Administrative Office Technology, Major Requirements, AOT-252
1002,Administrative Office Technology, Major Requirements, AOT-251
1002,Administrative Office Technology, Major Requirements, AOT-256
1002,Administrative Office Technology, Major Requirements, CPT-172
1002,Administrative Office Technology, Major Requirements, CPT-174
1002,Administrative Office Technology, Major Requirements, CPT-179
1002,Administrative Office Technology, Major Requirements, CPT-270
1002,Administrative Office Technology, Major Requirements, CPT-290
1002,Administrative Office Technology, Major Requirements, MGT-270
1002,Administrative Office Technology, Major Requirements, MKT-130
1004,Business Administration - Marketing, GenEd Requirements, IDS-109
1004,Business Administration - Marketing, Major Requirements, ACC-111
1004,Business Administration - Marketing, Major Requirements, BAF-101
1004,Business Administration - Marketing, Major Requirements, BUS-101
1004,Business Administration - Marketing, Major Requirements, BUS-121
1004,Business Administration - Marketing, Major Requirements, BUS-220
1004,Business Administration - Marketing, Major Requirements, CPT-282
1004,Business Administration - Marketing, Major Requirements, MGT-101
1004,Business Administration - Marketing, Major Requirements, MGT-255
1004,Business Administration - Marketing, Major Requirements, MGT-270
1004,Business Administration - Marketing, Major Requirements, MKT-101
1004,Business Administration - Marketing, Major Requirements, MKT-130
1004,Business Administration - Marketing, Major Requirements, MKT-140
1004,Business Administration - Marketing, Major Requirements, MKT-245
1004,Business Administration - Marketing, Major Requirements, MKT-250
1004,Business Administration - Marketing, Major Requirements, MKT-260
1005,Business Administration - Small Business - Entrepreneurship, GenEd Requirements, ENG-101
1005,Business Administration - Small Business - Entrepreneurship, GenEd Requirements, IDS-109
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, ACC-111
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, BAF-101
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, BUS-101
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, BUS-121
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, BUS-220
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, BUS-250
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, CPT-174
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, CPT-282
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MGT-101
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MGT-120
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MGT-201
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MGT-255
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MGT-270
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MKT-101
1005,Business Administration - Small Business - Entrepreneurship, Major Requirements, MKT-260
1038,Hospitality and Tourism Management, GenEd Requirements, ENG-101
1038,Hospitality and Tourism Management, Major Requirements, HOS-132
1038,Hospitality and Tourism Management, Major Requirements, HOS-140
1038,Hospitality and Tourism Management, Major Requirements, HOS-146
