Accounting Principles I,ACC-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Accounting Concepts,ACC-111-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 07:30 PM,Thornley,200,156,HYB,35,0
Accounting Concepts,ACC-111-W03,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Organizational Accounting,ACC-112-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Payroll Accounting,ACC-150-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,07:40 PM - 09:10 PM,Thornley,200,156,HYB,35,0
Payroll Accounting,ACC-150-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Intermediate Accounting II,ACC-202-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Intermediate Accounting III,ACC-203-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Tax Audit and Research,ACC-226-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Accounting Applications,ACC-245-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Integrated Accounting Software,ACC-246-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Auditing,ACC-260-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Fluid Lines and Fittings,ACM-114-001,M T W TH F,2023 Spring 1,1/9/2023 - 1/12/2023,08:00 AM - 01:30 PM,Thornley,1000,138,LEC,14,0
Fluid Lines and Fittings,ACM-114-002,M T W TH F,2023 Spring 1,1/9/2023 - 1/12/2023,04:00 PM - 09:30 PM,Thornley,1000,138,LEC,14,0
"Wood Structure, Cover, & Fin",ACM-125-001,M T W TH F,2023 Spring 1,2/1/2023 - 2/15/2023,08:00 AM - 09:25 AM,Thornley,1000,138,LEC,14,0
"Wood Structure, Cover, & Fin",ACM-125-001,M T W TH F,2023 Spring 1,2/1/2023 - 2/15/2023,09:30 AM - 01:30 PM,Thornley,1000,163,LAB,14,0
Sheet Metal & Non-metallic St,ACM-135-001,M T W TH F,2023 Spring 1,2/16/2023 - 4/5/2023,08:00 AM - 09:25 AM,Thornley,1000,138,LEC,14,0
Sheet Metal & Non-metallic St,ACM-135-001,M T W TH F,2023 Spring 1,2/16/2023 - 4/5/2023,09:30 AM - 01:30 PM,Thornley,1000,161,LAB,14,0
Sheet Metal & Non-metallic St,ACM-135-002,M T W TH F,2023 Spring 1,1/13/2023 - 2/20/2023,04:00 PM - 05:25 PM,Thornley,1000,138,LEC,14,0
Sheet Metal & Non-metallic St,ACM-135-002,M T W TH F,2023 Spring 1,1/13/2023 - 2/20/2023,05:30 PM - 09:30 PM,Thornley,1000,161,LAB,14,0
Aircraft Welding,ACM-145-001,M T W TH F,2023 Spring 1,1/13/2023 - 1/31/2023,08:00 AM - 09:25 AM,Thornley,1000,138,LEC,14,0
Aircraft Welding,ACM-145-001,M T W TH F,2023 Spring 1,1/13/2023 - 1/31/2023,09:30 AM - 01:30 PM,Thornley,940,215,LAB,14,0
Hydraulic and Pneumatic System,ACM-165-002,M T W TH F,2023 Spring 1,2/21/2023 - 3/29/2023,04:00 PM - 05:25 PM,Thornley,1000,138,LEC,14,0
Hydraulic and Pneumatic System,ACM-165-002,M T W TH F,2023 Spring 1,2/21/2023 - 3/29/2023,05:30 PM - 09:30 PM,Thornley,1000,142B,LAB,14,0
Turbine Engines,ACM-220-001,M T W TH F,2023 Spring 1,2/7/2023 - 3/14/2023,08:00 AM - 10:25 AM,Thornley,1000,140,LEC,14,0
Turbine Engines,ACM-220-001,M T W TH F,2023 Spring 1,2/7/2023 - 3/14/2023,10:30 AM - 01:30 PM,Thornley,1000,142A,LAB,14,0
Turbine Engines,ACM-220-002,M T W TH F,2023 Spring 1,1/9/2023 - 2/1/2023,04:00 PM - 05:25 PM,Thornley,1000,140,LEC,14,0
Turbine Engines,ACM-220-002,M T W TH F,2023 Spring 1,1/9/2023 - 2/1/2023,05:30 PM - 09:30 PM,Thornley,1000,142A,LAB,14,0
Propellers and Components,ACM-234-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/6/2023,08:00 AM - 10:25 AM,Thornley,1000,140,LEC,14,0
Propellers and Components,ACM-234-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/6/2023,10:30 AM - 01:30 PM,Thornley,1000,142A,LAB,14,0
Engine Elec Instru Fire Protec,ACM-240-002,M T W TH F,2023 Spring 1,2/2/2023 - 3/14/2023,04:00 PM - 05:25 PM,Thornley,1000,140,LEC,14,0
Engine Elec Instru Fire Protec,ACM-240-002,M T W TH F,2023 Spring 1,2/2/2023 - 3/14/2023,05:30 PM - 09:30 PM,Thornley,1000,142A,LAB,14,0
Refrigeration Fundamentals,ACR-108-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 08:00 PM,Thornley,800,820,LEC,20,0
Refrigeration Fundamentals,ACR-108-001,M W,2023 Spring 1,1/9/2023 - 2/28/2023,08:10 PM - 10:50 PM,Thornley,800,820,LAB,20,0
Refrigeration Fundamentals,ACR-108-D01,M W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 11:30 AM,Dorchester,5100,127,HYB,20,0
Refrigeration Fundamentals,ACR-108-D01,M T W TH F,2023 Spring 1,1/9/2023 - 2/28/2023,,Dorchester,5100,127,OL,20,0
Tools & Service Techniques II,ACR-109-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 07:00 PM,Thornley,800,818,LEC,20,0
Tools & Service Techniques II,ACR-109-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,07:20 PM - 10:20 PM,Thornley,800,818,LAB,20,0
Tools & Service Techniques II,ACR-109-D01,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 10:30 AM,Dorchester,5100,127,HYB,20,0
Tools & Service Techniques II,ACR-109-D01,M T W TH F,2023 Spring 1,1/9/2023 - 2/28/2023,,Dorchester,5100,127,OL,20,0
Basic Air Conditioning,ACR-120-001,T,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 07:30 PM,Thornley,800,814,L-L,20,0
Basic Air Conditioning,ACR-120-001,W,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 10:10 PM,Thornley,800,806,LAB,20,0
Basic Air Conditioning,ACR-120-001,M,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 10:10 PM,Thornley,800,814,L-L,20,0
Basic Air Conditioning,ACR-120-001,T,2023 Spring 1,1/9/2023 - 2/28/2023,07:35 PM - 09:10 PM,Thornley,800,806,LAB,20,0
Basic Air Conditioning,ACR-120-002,W,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 01:10 PM,Thornley,800,806,LAB,20,0
Basic Air Conditioning,ACR-120-002,M,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 01:10 PM,Thornley,800,814,L-L,20,0
Basic Air Conditioning,ACR-120-002,T,2023 Spring 1,1/9/2023 - 2/28/2023,09:00 AM - 10:30 AM,Thornley,800,814,L-L,20,0
Basic Air Conditioning,ACR-120-002,T,2023 Spring 1,1/9/2023 - 2/28/2023,10:35 AM - 12:10 PM,Thornley,800,806,LAB,20,0
Medical Vocabulary/Anatomy,AHS-104-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Medical Vocabulary/Anatomy,AHS-104-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Health Calculations,AHS-126-001,M,2023 Spring 1,1/9/2023 - 2/28/2023,09:30 AM - 10:30 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-002,M,2023 Spring 1,1/9/2023 - 2/28/2023,10:45 AM - 11:45 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-003,T,2023 Spring 1,1/9/2023 - 2/28/2023,09:30 AM - 10:30 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-004,T,2023 Spring 1,1/9/2023 - 2/28/2023,10:45 AM - 11:45 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-005,TH,2023 Spring 1,1/9/2023 - 2/28/2023,09:30 AM - 10:30 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-006,TH,2023 Spring 1,1/9/2023 - 2/28/2023,10:45 AM - 11:45 AM,Thornley,970,334,HYB,20,0
Health Calculations,AHS-126-008,W,2023 Spring 1,1/9/2023 - 2/28/2023,01:30 PM - 02:30 PM,Thornley,970,336,HYB,20,0
Health Calculations,AHS-126-009,W,2023 Spring 1,1/9/2023 - 2/28/2023,02:45 PM - 03:45 PM,Thornley,970,336,HYB,20,0
Health Calculations II,AHS-129-001,M,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 02:00 PM,Thornley,970,334,HYB,20,0
Health Calculations II,AHS-129-002,W,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 02:00 PM,Thornley,970,334,HYB,20,0
Phlebotomy,AHS-142-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,06:00 PM - 07:25 PM,Thornley,920,802,LEC,8,0
Phlebotomy-Lab,AHS-142L-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,07:35 PM - 09:00 PM,Thornley,920,802,LAB,8,0
Aircraft Sheet Metal Assembly,AMF-132-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/6/2023,08:00 AM - 09:45 AM,Thornley,1000,132,LEC,14,0
Aircraft Sheet Metal Assembly,AMF-132-001,M T W TH F,2023 Spring 1,1/9/2023 - 2/6/2023,09:50 AM - 12:00 PM,Thornley,1000,161,LAB,14,0
Aircraft Composite Structures,AMF-137-001,M T W TH F,2023 Spring 1,2/7/2023 - 3/15/2023,08:00 AM - 09:45 AM,Thornley,1000,132,LEC,14,0
Aircraft Composite Structures,AMF-137-001,M T W TH F,2023 Spring 1,2/7/2023 - 3/15/2023,09:50 AM - 12:00 PM,Thornley,1000,253,LAB,14,0
Automation Networks - Ethernet,AMT-209-002,T,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 04:30 PM,Thornley,1000,101,HYB,15,0
Automation Networks - Ethernet,AMT-209-002,T,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 04:30 PM,Thornley,1000,101,HYB,15,0
General Anthropology,ANT-101-P01,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 11:00 AM,Palmer,8100,142,LEC,30,0
General Anthropology,ANT-101-P03,M W,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 11:00 AM,Palmer,8100,142,LEC,30,0
General Anthropology,ANT-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
General Anthropology,ANT-101-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Keyboarding,AOT-105-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Records Management,AOT-161-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,35,0
Art History and Appreciation,ART-101-001,T TH,2023 Spring 1,1/9/2023 - 2/28/2023,01:00 PM - 02:45 PM,Thornley,,,HYB,30,0
Art History and Appreciation,ART-101-B01,M W,2023 Spring 1,1/9/2023 - 2/28/2023,08:00 AM - 09:55 AM,Berkeley,6100,143,HYB,30,0
Art History and Appreciation,ART-101-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Art History and Appreciation,ART-101-W02,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Art History and Appreciation,ART-101-W03,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,30,0
Film As Art,ART-105-W01,,2023 Spring 1,1/9/2023 - 2/28/2023,,Off Site,,,INT,24,0
