Accounting Principles I,ACC-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Accounting Principles II,ACC-102-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Accounting Concepts,ACC-111-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Art History and Appreciation,ART-101-W06,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Basic Drawing I,ART-111-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,09:00 AM - 09:55 AM,Thornley,950,219,LEC,24,0
Basic Drawing I,ART-111-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,09:56 AM - 11:25 AM,Thornley,950,219,LAB,24,0
Basic Drawing I,ART-111-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,12:00 PM - 12:55 PM,Thornley,950,219,LEC,24,0
Basic Drawing I,ART-111-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,12:56 PM - 02:25 PM,Thornley,950,219,LAB,24,0
Photography I,ARV-114-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,09:00 AM - 09:55 AM,Thornley,500,114,LEC,12,0
Photography I,ARV-114-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,09:56 AM - 11:25 AM,Thornley,500,114,LAB,12,0
Photography I,ARV-114-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,12:00 PM - 12:55 PM,Thornley,500,114,LEC,12,0
Photography I,ARV-114-001,M T W TH F,2023 Maymester,5/8/2023 - 5/26/2023,12:56 PM - 02:25 PM,Thornley,500,114,LAB,12,0
Introduction to Pastries,BKP-102-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,08:00 AM - 12:00 PM,Thornley,920,206,HYB,16,0
Ice Cream and Frozen Desserts,BKP-185-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,08:00 AM - 12:00 PM,Thornley,920,202,HYB,16,0
Introduction to Business,BUS-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Introductory Chemistry,CHM-100-W04,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,18,0
College Chemistry I,CHM-110-W10,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,16,0
College Chemistry II,CHM-111-W10,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,16,0
Intro. to Criminal Justice,CRJ-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Introduction to Culinary Arts,CUL-104-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,08:00 AM - 11:00 AM,Thornley,920,407,HYB,40,0
Classical Cooking Foundations,CUL-112-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,08:00 AM - 12:00 PM,Thornley,920,121,HYB,16,0
Farm to Plate,CUL-178-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,08:00 AM - 09:50 AM,Thornley,920,405LAB2,LEC,16,0
Farm to Plate,CUL-178-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,10:00 AM - 12:30 PM,Thornley,920,405LAB2,LAB,16,0
